z_meas,qc_meas,z,qc,z_koppejan,qc_koppejan,z_filter,qc_filter
0.0144,0.03,0.71136,1.92,0.00792,1.92,-0.01,1.919996565
0.01296,0.03,0.70992,1.92,0.00648,1.92,-0.02,1.919993332
0.01152,0.03,0.70848,1.92,0.00504,1.92,-0.03,1.919987887
0.00864,0.03,0.70704,1.92,0.0036,1.92,-0.04,1.919979068
0.0072,0.03,0.7056,1.92,0.00216,1.92,-0.05,1.919964905
0.0072,0.03,0.70452,1.92,0.00072,1.92,-0.06,1.9199425
0.00432,0.04,0.70308,1.92,-0.00072,1.92,-0.07,1.919907665
0.00288,0.04,0.70164,1.92,-0.00216,1.92,-0.08,1.919853492
0.00144,0.04,0.7002,1.92,-0.0036,1.92,-0.09,1.919769982
0,0.05,0.69876,1.92,-0.00504,1.92,-0.1,1.919642975
-0.00144,0.06,0.69732,1.92,-0.00648,1.92,-0.11,1.919449093
-0.00288,0.07,0.69588,1.92,-0.00792,1.92,-0.12,1.919155461
-0.00432,0.09,0.69444,1.92,-0.009,1.92,-0.13,1.91871612
-0.00576,0.11,0.693,1.92,-0.01044,1.92,-0.14,1.918054964
-0.0072,0.13,0.69156,1.92,-0.01188,1.92,-0.15,1.917066918
-0.00864,0.16,0.69012,1.92,-0.01332,1.92,-0.16,1.915607138
-0.01008,0.19,0.68868,1.92,-0.01476,1.92,-0.17,1.913435823
-0.01152,0.22,0.68724,1.92,-0.0162,1.92,-0.18,1.910227673
-0.01296,0.26,0.6858,1.92,-0.01764,1.92,-0.19,1.905542548
-0.0144,0.3,0.68436,1.92,-0.01908,1.92,-0.2,1.898677008
-0.01548,0.35,0.68292,1.92,-0.02052,1.92,-0.21,1.888644481
-0.01692,0.4,0.68148,1.92,-0.02196,1.92,-0.22,1.874221747
-0.01836,0.45,0.68004,1.92,-0.0234,1.92,-0.23,1.853479109
-0.0198,0.5,0.6786,1.92,-0.02484,1.92,-0.24,1.823871426
-0.02124,0.55,0.67716,1.92,-0.02628,1.92,-0.25,1.782580202
-0.02268,0.59,0.67572,1.92,-0.02772,1.92,-0.26,1.725499448
-0.02412,0.63,0.67464,1.92,-0.02916,1.92,-0.27,1.64817802
-0.02556,0.67,0.6732,1.92,-0.0306,1.92,-0.28,1.547520283
-0.027,0.71,0.67176,1.92,-0.03204,1.92,-0.29,1.420223852
-0.02844,0.75,0.67032,1.92,-0.03348,1.92,-0.3,1.266221852
-0.02988,0.78,0.66888,1.92,-0.03492,1.92,-0.31,1.091617704
-0.03132,0.81,0.66744,1.92,-0.03636,1.92,-0.32,0.903693258
-0.03276,0.84,0.666,1.92,-0.0378,1.92,-0.33,0.714796682
-0.0342,0.86,0.66456,1.92,-0.03888,1.92,-0.34,0.536885102
-0.03564,0.89,0.66312,1.92,-0.04032,1.92,-0.35,0.472689117
-0.03708,0.92,0.66168,1.92,-0.04176,1.92,-0.36,0.407479308
-0.03852,0.94,0.66024,1.92,-0.0432,1.92,-0.37,0.394456312
-0.03996,0.96,0.6588,1.92,-0.04464,1.92,-0.38,0.419421728
-0.04284,0.99,0.65736,1.92,-0.04608,1.92,-0.39,0.491706434
-0.04428,1.01,0.65592,1.92,-0.04752,1.92,-0.4,0.769017662
-0.04536,1.03,0.65448,1.92,-0.04896,1.92,-0.41,0.918203047
-0.0468,1.05,0.65304,1.92,-0.0504,1.92,-0.42,0.939564709
-0.04824,1.07,0.6516,1.92,-0.05184,1.92,-0.43,0.858338551
-0.04968,1.09,0.65016,1.92,-0.05328,1.92,-0.44,0.71846767
-0.05112,1.11,0.64872,1.92,-0.05472,1.92,-0.45,0.558673729
-0.05256,1.13,0.64728,1.92,-0.05616,1.92,-0.46,0.486858608
-0.054,1.15,0.64584,1.92,-0.0576,1.92,-0.47,0.406357828
-0.05544,1.17,0.64476,1.92,-0.05904,1.92,-0.48,0.38221517
-0.05688,1.19,0.64332,1.92,-0.06048,1.92,-0.49,0.393607918
-0.05832,1.21,0.64188,1.92,-0.06192,1.92,-0.5,0.441530519
-0.05976,1.23,0.64044,1.92,-0.06336,1.92,-0.51,0.551069996
-0.0612,1.24,0.639,1.92,-0.0648,1.92,-0.52,0.855594271
-0.06264,1.26,0.63756,1.92,-0.06624,1.92,-0.53,0.946305952
-0.06408,1.28,0.63612,1.92,-0.06768,1.92,-0.54,0.916200001
-0.06552,1.29,0.63468,1.92,-0.06876,1.92,-0.55,0.802918371
-0.06696,1.31,0.63324,1.92,-0.0702,1.92,-0.56,0.649851936
-0.0684,1.32,0.6318,1.92,-0.07164,1.92,-0.57,0.579602505
-0.06984,1.34,0.63036,1.92,-0.07308,1.92,-0.58,0.445926229
-0.07272,1.36,0.62892,1.92,-0.07452,1.92,-0.59,0.398769335
-0.07416,1.37,0.62748,1.92,-0.07596,1.92,-0.6,0.396570868
-0.07524,1.39,0.62604,1.92,-0.0774,1.92,-0.61,0.432184165
-0.07668,1.4,0.6246,1.92,-0.07884,1.92,-0.62,0.522150954
-0.07812,1.41,0.62316,1.92,-0.08028,1.92,-0.63,0.826203447
-0.07956,1.43,0.62172,1.92,-0.08172,1.92,-0.64,0.954356966
-0.081,1.44,0.62028,1.92,-0.08316,1.92,-0.65,0.956563508
-0.08244,1.45,0.61884,1.92,-0.0846,1.92,-0.66,0.862997599
-0.08388,1.46,0.6174,1.92,-0.08604,1.92,-0.67,0.717023433
-0.08532,1.47,0.61596,1.92,-0.08748,1.92,-0.68,0.555015093
-0.08676,1.48,0.61488,1.92,-0.08892,1.92,-0.69,0.486563135
-0.0882,1.5,0.61344,1.92,-0.09036,1.92,-0.7,0.414850891
-0.08964,1.51,0.612,1.92,-0.0918,1.92,-0.71,0.399243201
-0.09108,1.52,0.61056,1.92,-0.09324,1.92,-0.72,0.423568007
-0.09252,1.53,0.60912,1.92,-0.09468,1.92,-0.73,0.4971336
-0.09396,1.54,0.60768,1.92,-0.09612,1.92,-0.74,0.673114834
-0.0954,1.55,0.60624,1.92,-0.09756,1.92,-0.75,1.164356371
-0.09684,1.56,0.6048,1.92,-0.09864,1.92,-0.76,1.43588612
-0.09828,1.57,0.60336,1.92,-0.10008,1.92,-0.77,1.628393311
-0.09972,1.58,0.60192,1.92,-0.10152,1.92,-0.78,1.752296183
-0.10116,1.58,0.60048,1.92,-0.10296,1.92,-0.79,1.826989796
-0.1026,1.6,0.59904,1.92,-0.1044,1.92,-0.8,1.870158554
-0.10404,1.6,0.5976,1.92,-0.10584,1.92,-0.81,1.894447704
-0.10656,1.61,0.59616,1.92,-0.10728,1.92,-0.82,1.907878823
-0.108,1.62,0.59472,1.92,-0.10872,1.92,-0.83,1.915219537
-0.10944,1.63,0.59328,1.92,-0.11016,1.92,-0.84,1.919199497
-0.11088,1.64,0.59184,1.92,-0.1116,1.92,-0.85,1.921346539
-0.11232,1.64,0.5904,1.92,-0.11304,1.92,-0.86,1.922503252
-0.11376,1.65,0.58896,1.92,-0.11448,1.92,-0.87,1.923129406
-0.1152,1.66,0.58752,1.92,-0.11592,1.92,-0.88,1.923473636
-0.11664,1.66,0.58608,1.92,-0.11736,1.92,-0.89,1.923669337
-0.11808,1.67,0.585,1.92,-0.1188,1.92,-0.9,1.92378753
-0.11952,1.68,0.58356,1.92,-0.12024,1.92,-0.91,1.923865717
-0.12096,1.69,0.58212,1.92,-0.12168,1.92,-0.92,1.923923515
-0.1224,1.69,0.58068,1.92,-0.12312,1.92,-0.93,1.92397104
-0.12384,1.7,0.57924,1.92,-0.12456,1.92,-0.94,1.924013514
-0.12528,1.71,0.5778,1.92,-0.126,1.92,-0.95,1.924053582
-0.12672,1.71,0.57636,1.92,-0.12744,1.92,-0.96,1.924092546
-0.12816,1.72,0.57492,1.92,-0.12852,1.92,-0.97,1.924131032
-0.1296,1.73,0.57348,1.92,-0.12996,1.92,-0.98,1.924169342
-0.13104,1.74,0.57204,1.92,-0.1314,1.92,-0.99,1.924207639
-0.13248,1.74,0.5706,1.92,-0.13284,1.92,-1,1.924245935
-0.13392,1.75,0.56916,1.92,-0.13428,1.92,-1.01,1.92428423
-0.135,1.76,0.56772,1.92,-0.13572,1.92,-1.02,1.924322525
-0.13644,1.76,0.56628,1.92,-0.13716,1.92,-1.03,1.92436082
-0.13932,1.77,0.56484,1.92,-0.1386,1.92,-1.04,1.924399114
-0.14076,1.78,0.5634,1.92,-0.14004,1.92,-1.05,1.924437408
-0.1422,1.78,0.56196,1.92,-0.14148,1.92,-1.06,1.924475701
-0.14364,1.79,0.56052,1.92,-0.14292,1.92,-1.07,1.924513994
-0.14508,1.8,0.55908,1.92,-0.14436,1.92,-1.08,1.924552286
