,z,qc,fs,Rf,u2,incl_x,incl_y,incl,pen,time
0,-2.105,0.48,0.001,0.2,-0.004,,,0.0,1.005,110.1
1,-2.125,0.44,0.001,0.2,-0.004,,,0.0,1.025,110.9
2,-2.145,0.41,0.001,0.2,-0.004,,,0.0,1.045,111.8
3,-2.165,0.41,0.002,0.3,-0.004,,,0.0,1.065,112.7
4,-2.185,0.43,0.005,0.7,-0.004,,,0.0,1.085,113.6
5,-2.205,0.49,0.007,0.7,-0.004,,,0.0,1.105,114.4
6,-2.225,0.6,0.008,0.5,-0.003,,,0.0,1.125,115.3
7,-2.245,0.86,0.01,0.5,-0.003,,,0.0,1.145,116.2
8,-2.265,1.49,0.016,0.6,0.0,,,0.0,1.165,117.0
9,-2.285,2.62,0.022,0.6,0.006,,,0.0,1.185,117.9
10,-2.305,3.98,0.029,0.6,0.02,,,0.0,1.205,118.8
11,-2.325,5.12,0.035,0.7,0.03,,,0.0,1.225,119.7
12,-2.345,5.99,0.04,0.6,0.038,,,0.0,1.245,120.6
13,-2.365,6.53,0.045,0.7,0.017,,,0.0,1.265,121.4
14,-2.385,6.91,0.049,0.7,0.001,,,0.0,1.285,122.3
15,-2.4050000000000002,7.18,0.052,0.7,-0.001,,,0.0,1.305,123.2
16,-2.425,7.39,0.055,0.7,-0.002,,,0.0,1.325,124.1
17,-2.4450000000000003,7.55,0.057,0.7,-0.002,,,0.0,1.345,124.9
18,-2.465,7.66,,,-0.003,,,0.0,1.365,125.8
19,-2.4850000000000003,7.72,0.042,0.5,-0.003,,,0.0,1.385,126.7
20,-2.505,7.75,0.047,0.6,-0.003,,,0.0,1.405,127.5
21,-2.5250000000000004,7.78,0.051,0.6,-0.004,,,0.0,1.425,128.5
22,-2.545,7.79,0.055,0.7,-0.004,,,0.0,1.445,129.3
23,-2.585,7.56,0.062,0.8,-0.003,,,0.0,1.485,152.4
24,-2.605,7.4,0.059,0.7,-0.004,,,0.0,1.505,153.2
25,-2.625,7.17,0.06,0.7,-0.005,,,0.0,1.525,154.2
26,-2.645,6.99,0.062,0.7,-0.005,,,0.0,1.545,155.1
27,-2.665,7.39,0.061,0.7,-0.004,,,0.0,1.565,155.9
28,-2.685,8.08,0.059,0.7,-0.004,,,0.0,1.585,156.8
29,-2.705,8.7,0.059,0.6,-0.004,,,0.0,1.605,157.6
30,-2.725,9.05,0.06,0.6,-0.003,,,0.0,1.625,158.5
31,-2.745,9.3,0.061,0.6,-0.003,,,0.0,1.645,159.4
32,-2.765,9.38,0.06,0.6,-0.003,,,0.0,1.665,160.3
33,-2.785,9.33,0.061,0.6,-0.003,,,0.0,1.685,161.1
34,-2.805,9.09,0.063,0.7,-0.004,,,0.0,1.705,162.0
35,-2.825,8.73,0.065,0.7,-0.004,,,0.0,1.725,162.8
36,-2.845,8.28,0.066,0.8,-0.004,,,0.0,1.745,163.7
37,-2.865,7.79,0.065,0.8,-0.004,,,0.0,1.765,164.6
38,-2.885,7.24,0.063,0.9,-0.004,,,0.0,1.785,165.5
39,-2.9050000000000002,6.69,0.062,0.9,-0.004,,,0.0,1.805,166.4
40,-2.925,6.05,0.061,1.0,-0.004,,,0.0,1.825,167.2
41,-2.9450000000000003,5.36,0.059,1.2,-0.004,,,0.0,1.845,168.1
42,-2.965,4.63,0.059,1.4,-0.004,,,0.0,1.865,169.0
43,-2.9850000000000003,3.84,0.061,1.7,-0.005,,,0.0,1.885,169.9
44,-3.005,2.94,0.063,2.1,-0.004,,,0.0,1.905,170.8
45,-3.024,2.13,0.066,2.7,-0.002,,,0.0,1.924,171.6
46,-3.044,1.63,0.069,3.5,0.0,,,0.0,1.944,172.5
47,-3.064,1.45,0.067,4.1,0.001,,,0.0,1.964,173.3
48,-3.084,1.31,0.062,4.5,0.002,,,0.0,1.984,174.2
49,-3.104,1.21,0.057,4.6,0.009,,,0.0,2.004,175.1
50,-3.124,1.09,0.05,4.2,0.016,,,0.0,2.024,176.0
51,-3.144,1.01,0.044,3.8,0.061,,,0.0,2.044,176.8
52,-3.164,1.01,0.037,3.1,0.091,,,0.0,2.064,177.7
53,-3.184,1.08,0.03,2.5,0.089,,,0.0,2.084,178.6
54,-3.204,1.19,0.031,2.5,0.129,,,0.0,2.104,179.4
55,-3.224,1.31,0.033,2.5,0.092,,,0.0,2.124,180.3
56,-3.244,1.41,0.036,2.6,0.048,,,0.0,2.144,181.1
57,-3.2640000000000002,1.45,0.041,2.8,0.042,,,0.0,2.164,182.0
58,-3.2840000000000003,1.46,0.046,3.0,0.076,,,0.0,2.184,182.9
59,-3.3040000000000003,1.5,0.052,3.3,0.079,,,0.0,2.204,183.8
60,-3.3240000000000003,1.57,0.056,3.5,0.082,,,0.0,2.224,184.6
61,-3.3440000000000003,1.66,0.06,3.8,0.063,,,0.0,2.244,185.5
62,-3.364,1.7,0.064,4.0,0.071,,,0.0,2.264,186.4
63,-3.384,1.66,0.065,4.2,0.042,,,0.0,2.284,187.3
64,-3.404,1.57,0.064,4.2,0.026,,,0.0,2.304,188.1
65,-3.424,1.46,0.064,4.4,0.01,,,0.0,2.324,189.0
66,-3.444,1.37,0.063,4.6,0.023,,,0.0,2.344,189.9
67,-3.464,1.29,,,0.033,,,0.0,2.364,190.7
68,-3.484,1.22,0.051,4.2,0.015,,,0.0,2.384,191.6
69,-3.504,1.17,0.049,4.2,0.013,,,0.0,2.404,192.5
70,-3.524,1.1,0.049,4.5,0.0,,,0.0,2.424,193.3
71,-3.544,1.03,0.047,4.6,-0.015,,,0.0,2.444,194.3
72,-3.584,0.91,0.041,4.5,-0.026,,,0.0,2.484,217.3
73,-3.604,0.86,0.038,4.4,-0.022,,,0.0,2.504,218.2
74,-3.624,0.82,0.035,4.2,-0.018,,,0.0,2.524,219.0
75,-3.644,0.81,0.031,3.7,-0.011,,,0.0,2.544,219.9
76,-3.664,0.81,0.029,3.5,-0.005,,,0.0,2.564,220.8
77,-3.684,0.79,0.029,3.6,0.0,,,0.0,2.584,221.6
78,-3.704,0.79,0.028,3.5,0.006,,,0.0,2.604,222.5
79,-3.724,0.8,0.028,3.5,0.012,,,0.0,2.624,223.4
80,-3.744,0.81,0.028,3.5,0.015,,,0.0,2.644,224.3
81,-3.7640000000000002,0.79,0.028,3.6,0.016,,,0.0,2.664,225.1
82,-3.7840000000000003,0.77,0.027,3.5,0.014,,,0.0,2.684,226.0
83,-3.8040000000000003,0.76,0.026,3.5,0.012,,,0.0,2.704,226.8
84,-3.8240000000000003,0.72,0.024,3.3,0.012,,,0.0,2.724,227.8
85,-3.8440000000000003,0.7,0.023,3.3,0.015,,,0.0,2.744,228.7
86,-3.864,0.67,0.022,3.2,0.017,,,0.0,2.764,229.5
87,-3.884,0.65,0.021,3.2,0.018,,,0.0,2.784,230.4
88,-3.904,0.63,0.019,3.0,0.019,,,0.0,2.804,231.3
89,-3.924,0.62,0.018,3.0,0.02,,,0.0,2.824,232.1
90,-3.944,0.6,0.017,2.9,0.016,,,0.0,2.844,232.9
91,-3.964,0.56,0.015,2.6,0.014,,,0.0,2.864,233.9
92,-3.984,0.53,0.014,2.5,0.017,,,0.0,2.884,234.7
93,-4.004,0.51,0.013,2.4,0.02,,,0.0,2.904,235.6
94,-4.024,0.5,0.012,2.3,0.022,,,0.0,2.924,236.4
95,-4.0440000000000005,0.5,0.011,2.2,0.024,,,0.0,2.944,237.3
96,-4.064,0.5,0.01,2.0,0.026,,,0.0,2.964,238.2
97,-4.084,0.49,0.01,2.0,0.029,,,0.0,2.984,239.1
98,-4.104,0.49,0.009,1.8,0.031,,,0.0,3.004,240.0
99,-4.1240000000000006,0.48,0.009,1.8,0.034,,,0.0,3.024,240.8
100,-4.144,0.48,0.009,1.8,0.035,,,0.0,3.044,241.7
101,-4.164,0.49,0.008,1.6,0.039,,,0.0,3.064,242.6
102,-4.184,0.5,0.008,1.6,0.043,,,0.0,3.084,243.4
103,-4.204000000000001,0.49,0.008,1.6,0.047,,,0.0,3.104,244.3
104,-4.224,0.49,0.008,1.6,0.051,,,0.0,3.124,245.1
105,-4.244,0.48,0.008,1.5,0.057,,,0.0,3.144,246.0
106,-4.264,0.5,0.009,1.7,0.062,,,0.0,3.164,246.9
107,-4.284000000000001,0.51,0.009,1.7,0.066,,,0.0,3.184,247.6
108,-4.304,0.52,0.009,1.7,0.072,,,0.0,3.204,248.6
109,-4.324,0.52,0.009,1.7,0.077,,,0.0,3.224,249.5
110,-4.344,0.51,0.009,1.8,0.081,,,0.0,3.244,250.3
111,-4.364,0.5,0.009,1.8,0.085,,,0.0,3.264,251.2
112,-4.384,0.49,0.008,1.6,0.089,,,0.0,3.284,252.1
113,-4.404,0.48,0.008,1.6,0.091,,,0.0,3.304,252.9
114,-4.4239999999999995,0.47,0.008,1.7,0.095,,,0.0,3.324,253.8
115,-4.444,0.46,0.008,1.7,0.098,,,0.0,3.344,254.7
116,-4.464,0.44,0.007,1.5,0.098,,,0.0,3.364,255.6
117,-4.484,0.43,0.008,1.8,0.1,,,0.0,3.384,256.4
118,-4.504,0.43,0.008,1.8,0.104,,,0.0,3.404,257.3
