z (m),qc (MPa),fs (MPa)
-4.603775004,4.013754641,0
-4.623775004,4.030371897,0
-4.643775004,4.046989154,0
-4.663775004,4.063606411,0
-4.683775004,4.080223667,0
-4.703775004,4.096840924,0
-4.723775004,4.113458181,0
-4.743775004,4.130075437,0.304577899
-4.763775004,4.146692694,0.302092686
-4.783775004,4.163309951,0.299607473
-4.803775004,4.215546616,0.29712226
-4.823775004,4.356800998,0.294637047
-4.843775004,4.498055381,0.292151834
-4.863775004,4.639309764,0.289666621
-4.883775004,4.780564146,0.287181408
-4.903775004,4.921818529,0.284696194
-4.923775004,5.063072911,0.282210981
-4.943775004,5.022180902,0.279725768
-4.963775004,4.695984898,0.277240555
-4.983775004,4.369788894,0.276447681
-5.003775004,4.184236336,0.277226606
-5.023775004,4.106440575,0.278005531
-5.043775004,4.028644814,0.278784455
-5.063775004,4.05383222,0.27956338
-5.083775004,4.108463718,0.280342305
-5.103775004,4.163095215,0.281121229
-5.123775004,4.217726712,0.281900154
-5.143775004,4.27235821,0.281594757
-5.163775004,4.326989707,0.2797315
-5.183775004,4.381621204,0.277868242
-5.203775004,4.365917996,0.276004985
-5.223775004,4.337995259,0.274141727
-5.243775004,4.310072522,0.27227847
-5.263775004,4.282149784,0.270415212
-5.283775004,4.254227047,0.268551955
-5.303775004,4.22630431,0.266688697
-5.323775004,4.198381572,0.264825439
-5.343775004,4.170458835,0.262962182
-5.363775004,4.142536098,0.265122989
-5.383775004,4.137661013,0.268470781
-5.403775004,4.307954901,0.271818572
-5.423775004,4.478248789,0.275166363
-5.443775004,4.648542677,0.275013147
-5.463775004,4.818836565,0.273717989
-5.483775004,4.735364655,0.272422831
-5.503775004,4.647900043,0.271127674
-5.523775004,4.56043543,0.269832516
-5.543775004,4.472970818,0.268052266
-5.563775004,4.385506206,0.266189008
-5.583775004,4.37570409,0.264325751
-5.603775004,4.480118866,0.262462493
-5.623775004,4.584533643,0.260599236
-5.643775004,4.688948419,0.258735978
-5.663775004,4.754453258,0.256872721
-5.683775004,4.708954384,0.255009463
-5.703775004,4.663455509,0.253146205
-5.723775004,4.617956635,0.251282948
-5.743775004,4.572457761,0.24941969
-5.763775004,4.526958887,0.247556433
-5.783775004,4.481460012,0.245693175
-5.803775004,4.435961138,0.243829918
-5.823775004,4.390462264,0.24196666
-5.843775004,5.552948056,0.240103403
-5.863775004,6.838758756,0.238240145
-5.883775004,8.124569456,0.236376888
-5.903775004,9.410380155,0.23451363
-5.923775004,10.69619085,0.232650372
-5.943775004,7.145680191,0.230787115
-5.963775004,4.621321477,0.229661778
-5.983775004,5.839354641,0.229076206
-6.003775004,7.169383507,0.228490633
-6.023775004,7.125087974,0.227905061
-6.043775004,4.690707022,0.227319489
-6.063775004,4.260742968,0.226733916
-6.083775004,4.378299388,0.226148344
-6.103775004,4.495855808,0.225562771
-6.123775004,4.613412228,0.232798907
-6.143775004,4.730968649,0.250367815
-6.163775004,4.918364365,0.267936723
-6.183775004,5.302380134,0.28550563
-6.203775004,5.686395902,0.303074538
-6.223775004,6.070411671,0.298966831
-6.243775004,6.324804973,0.290550228
-6.263775004,5.960937927,0.282133625
-6.283775004,5.59707088,0.273717023
-6.303775004,5.285410143,0.26530042
-6.323775004,5.07309244,0.256883818
-6.343775004,4.860774737,0.248467215
-6.363775004,4.648457033,0.240050612
-6.383775004,4.43613933,0.234238553
-6.403775004,4.223821626,0.231502866
-6.423775004,4.156893816,0.22876718
-6.443775004,4.143795878,0.226031494
-6.463775004,4.13069794,0.223295808
-6.483775004,4.117600002,0.222122273
-6.503775004,4.106321098,0.222314825
-6.523775004,4.096468996,0.222507376
-6.543775004,4.086616893,0.222699928
-6.563775004,4.076764791,0.222743298
-6.583775004,4.066912688,0.222619228
-6.603775004,4.057081527,0.222495157
-6.623775004,4.05697321,0.222371086
-6.643775004,4.056864892,0.222247016
-6.663775004,4.056756575,0.222122945
-6.683775004,4.056648258,0.221998874
-6.703775004,4.056539941,0.225387551
-6.723775004,4.162138202,0.22890633
-6.743775004,4.398740942,0.23242511
-6.763775004,4.635343682,0.23594389
-6.783775004,4.684175653,0.239462669
-6.803775004,4.652920342,0.242981449
-6.823775004,4.621665031,0.246500229
-6.843775004,4.59040972,0.250019008
-6.863775004,4.559154409,0.253537788
-6.883775004,4.527899098,0.257056567
-6.903775004,4.496643787,0.260575347
-6.923775004,4.511918143,0.262970951
-6.943775004,4.543053362,0.264929835
-6.963775004,4.574188581,0.266888719
-6.983775004,4.6053238,0.268847603
-7.003775004,4.636459019,0.270806487
-7.023775004,4.667594238,0.272765371
-7.043775004,4.698729457,0.274724254
-7.063775004,4.699217741,0.276683138
-7.083775004,4.69261252,0.278642022
-7.103775004,4.6860073,0.279725441
-7.123775004,4.679402079,0.280639081
-7.143775004,4.672796858,0.28155272
-7.163775004,4.666191637,0.282466359
-7.183775004,4.659586417,0.283379998
-7.203775004,4.652981196,0.284293638
-7.223775004,4.832303918,0.285207277
-7.243775004,5.216319687,0.286120916
-7.263775004,5.600335456,0.287034556
-7.283775004,5.984351224,0.287948195
-7.303775004,4.997254641,0.288861834
-7.323775004,5.408302009,0.289775473
-7.343775004,5.819349378,0.290689113
-7.363775004,6.230396746,0.291602752
-7.383775004,6.516631564,0.292516391
-7.403775004,6.400216179,0.29343003
-7.423775004,6.283800795,0.29434367
-7.443775004,5.744831564,0.295257309
-7.463775004,4.673959769,0.296170948
-7.483775004,4.534554641,0.297084587
-7.503775004,4.418139256,0.297998227
-7.523775004,4.330002703,0.298911866
-7.543775004,4.368963943,0.299825505
-7.563775004,4.407925183,0.300739145
-7.583775004,4.446886424,0.301652784
-7.603775004,4.486305562,0.302566423
-7.623775004,4.544858424,0.304365343
-7.643775004,4.603411285,0.30625842
-7.663775004,4.661964146,0.308151497
-7.683775004,4.720517007,0.310044573
-7.703775004,4.779069869,0.31193765
-7.723775004,4.83762273,0.313830727
-7.743775004,4.896175591,0.315723804
-7.763775004,4.954728453,0.31761688
-7.783775004,5.038535053,0.319509957
-7.803775004,5.132448772,0.321403034
-7.823775004,5.226362492,0.323296111
-7.843775004,5.320276211,0.325189187
-7.863775004,5.41418993,0.327082264
-7.883775004,5.50810365,0.328975341
-7.903775004,5.602017369,0.330868418
-7.923775004,5.683315806,0.332761494
-7.943775004,5.76149833,0.334654571
-7.963775004,5.839680854,0.336547648
-7.983775004,5.917863379,0.338440725
-8.003775004,5.996045903,0.340333801
-8.023775004,6.074228427,0.342226878
-8.043775004,6.152410952,0.344119955
-8.063775004,6.230593476,0.346013032
-8.083775004,6.308776,0.347906108
-8.103775004,6.386958524,0.35174585
-8.123775004,6.465141049,0.356529519
-8.143775004,10.76489679,0.361313188
-8.163775004,16.59657758,0.366096856
-8.183775004,22.42825838,0.370880525
-8.203775004,24.93415598,0.375664194
-8.223775004,24.13993822,0.380447863
-8.243775004,23.34572045,0.385231531
-8.263775004,22.55150269,0.3900152
-8.283775004,21.75728493,0.395758914
-8.303775004,20.96306716,0.412962631
-8.323775004,20.1688494,0.430166348
-8.343775004,19.33954275,0.447370065
-8.363775004,18.4166487,0.464573782
-8.383775004,17.49375464,0.481777499
-8.403775004,16.57086058,0.498981216
-8.423775004,15.64796653,0.520585172
-8.443775004,14.72507247,0.563073354
-8.463775004,13.80217841,0.603868521
-8.483775004,12.87928436,0.612169702
-8.503775004,12.41957695,0.620470882
-8.523775004,11.9621554,0.628772063
-8.543775004,11.50473385,0.637073243
-8.563775004,11.0473123,0.645374424
-8.583775004,10.58989075,0.62191812
-8.603775004,10.79476023,0.568964154
-8.623775004,12.46995017,0.516010187
-8.643775004,14.14514012,0.482093338
-8.663775004,15.82033006,0.465223129
-8.683775004,16.49659452,0.44835292
-8.703775004,16.01685132,0.431482712
-8.723775004,15.53710812,0.414612503
-8.743775004,15.05736491,0.397742294
-8.763775004,14.57762171,0.380872086
-8.783775004,14.09787851,0.364001877
-8.803775004,13.61813531,0.347131668
-8.823775004,13.63453197,0.36009308
-8.843775004,14.57304209,0.37675065
-8.863775004,15.51155221,0.39340822
-8.883775004,16.45006233,0.410065791
-8.903775004,17.38857245,0.426723361
-8.923775004,18.31694792,0.443380931
-8.943775004,19.01061739,0.460038501
-8.963775004,19.70428685,0.476696072
-8.983775004,20.39795632,0.493353642
-9.003775004,21.09162579,0.540001938
-9.023775004,21.78529526,0.601499053
-9.043775004,22.47896472,0.662996168
-9.063775004,22.67997076,0.64956497
-9.083775004,21.87137068,0.635428782
-9.103775004,21.06277061,0.621292594
-9.123775004,20.25417053,0.607156406
-9.143775004,19.44557046,0.593020218
-9.163775004,18.63697039,0.578884029
-9.183775004,17.82837031,0.564747841
-9.203775004,17.05835641,0.550611653
-9.223775004,16.66320597,0.536475465
-9.243775004,16.26805553,0.522339277
-9.263775004,15.87290508,0.508203089
-9.283775004,15.47775464,0.494066901
-9.303775004,15.0826042,0.479930712
-9.323775004,14.68745376,0.465794524
-9.343775004,14.29230331,0.451658336
-9.363775004,13.89715287,0.437522148
-9.383775004,12.40038007,0.426889496
-9.403775004,10.14873746,0.417467068
-9.423775004,7.897094847,0.408044639
-9.443775004,6.80586423,0.39862221
-9.463775004,7.099397527,0.389199781
-9.483775004,7.944363266,0.379777352
-9.503775004,8.789329006,0.370354923
-9.523775004,9.634294746,0.360932494
-9.543775004,10.47926049,0.351510065
-9.563775004,11.32422622,0.377305784
-9.583775004,12.16919196,0.42887634
-9.603775004,5.808036599,0.427351553
-9.623775004,6.198803606,0.425826766
-9.643775004,6.589570612,0.424301979
-9.663775004,6.980337618,0.422777192
-9.683775004,7.371104624,0.421252405
-9.703775004,7.761871631,0.423436763
-9.723775004,8.152638637,0.430418108
-9.743775004,8.543405643,0.437399452
-9.763775004,8.934172649,0.444380796
-9.783775004,10.34501452,0.45136214
-9.803775004,11.85375464,0.458343484
-9.823775004,12.63305315,0.465324828
-9.843775004,11.91832181,0.468041005
-9.863775004,11.20359046,0.460452789
-9.883775004,10.48885912,0.463360006
-9.903775004,9.774127775,0.472630033
-9.923775004,9.059396432,0.481900061
-9.943775004,10.25499753,0.491170088
-9.963775004,11.23332852,0.500440115
-9.983775004,8.981685912,0.509710142
-10.003775,8.517642183,0.51898017
-10.023775,8.566394486,0.528250197
-10.043775,8.615146788,0.537520224
-10.063775,8.663899091,0.546790251
-10.083775,8.712651393,0.556060279
-10.103775,9.190498827,0.565330306
-10.123775,11.06572927,0.574600333
-10.143775,12.94095971,0.58387036
-10.163775,14.81619016,0.593140388
-10.183775,15.79526292,0.602410415
-10.203775,15.55118139,0.611680442
-10.223775,15.30709986,0.620950469
-10.243775,15.06301834,0.630220497
-10.263775,14.81893681,0.639490524
-10.283775,14.57485528,0.648760551
-10.303775,14.33077375,0.658030578
-10.323775,14.08669222,0.667300606
-10.343775,13.84261069,0.676570633
-10.363775,21.93375464,0.68584066
-10.383775,11.46193832,0.695110687
-10.403775,12.66861319,0.704380715
-10.423775,13.87528806,0.713650742
-10.443775,15.08196292,0.642911232
-10.463775,16.28863779,0.355911232
-10.483775,17.49531266,0.431600142
-10.503775,18.70198752,0.616172447
-10.523775,19.90866239,0.800744752
-10.543775,21.11533726,0.829092423
-10.563775,22.32201212,0.818460506
-10.583775,23.52868699,0.807828589
-10.603775,24.73536186,0.797196672
-10.623775,25.94203672,0.786564755
-10.643775,26.44996086,0.775932837
-10.663775,25.65394414,0.76530092
-10.683775,24.85792742,0.754669003
-10.703775,24.0619107,0.744037086
-10.723775,23.26589398,0.733405168
-10.743775,22.46987726,0.722773251
-10.763775,21.67386054,0.712141334
-10.783775,20.87784382,0.701509417
-10.803775,20.0818271,0.6908775
-10.823775,19.28581038,0.680245582
-10.843775,18.48979366,0.669613665
-10.863775,17.69377694,0.658981748
-10.883775,16.65583142,0.648349831
-10.903775,15.55006177,0.637717914
-10.923775,14.44429212,0.627085996
-10.943775,13.33852247,0.621688885
-10.963775,12.23275281,0.620796469
-10.983775,11.12698316,0.619904053
-11.003775,10.94955426,0.619011636
-11.023775,10.87175849,0.61811922
-11.043775,10.79396273,0.617226804
-11.063775,10.71616697,0.616334388
-11.083775,10.63837121,0.615441972
-11.103775,10.56057545,0.614549556
-11.123775,10.48277969,0.61365714
-11.143775,10.40498393,0.578115851
-11.163775,10.32718817,0.531083598
-11.183775,10.24939241,0.484051344
-11.203775,10.17159664,0.437019091
-11.223775,10.01691886,0.432194756
-11.243775,9.836466462,0.434153639
-11.263775,9.656014066,0.436112523
-11.283775,9.47556167,0.438071407
-11.303775,9.288160771,0.440030291
-11.323775,9.094950043,0.441989175
-11.343775,8.901739315,0.443948059
-11.363775,8.189636341,0.445906942
-11.383775,7.56691052,0.447865826
-11.403775,7.620561914,0.44982471
-11.423775,7.674213308,0.451783594
-11.443775,7.727864701,0.453742478
-11.463775,7.781516095,0.455701361
-11.483775,7.835167489,0.457660245
-11.503775,7.888818883,0.456425712
-11.523775,7.942470277,0.448606895
-11.543775,7.996121671,0.440788078
-11.563775,8.049773065,0.432969261
-11.583775,8.103424459,0.425150444
-11.603775,8.128150404,0.417331627
-11.623775,8.040685792,0.40951281
-11.643775,7.953221179,0.405548431
-11.663775,7.865756567,0.403748575
-11.683775,7.778291954,0.40194872
-11.703775,7.690827342,0.400148864
-11.723775,7.633646533,0.398349009
-11.743775,7.594619506,0.396549153
-11.763775,7.555592479,0.394749298
-11.783775,7.516565452,0.392949442
-11.803775,7.477538425,0.391149587
-11.823775,7.438511398,0.389349731
-11.843775,7.399484371,0.387549876
-11.863775,7.360457344,0.38575002
-11.883775,7.321430317,0.383950165
-11.903775,7.282403289,0.38215031
-11.923775,7.243376262,0.380350454
-11.943775,7.204349235,0.378550599
-11.963775,7.165322208,0.376750743
-11.983775,7.126295181,0.374950888
-12.003775,7.150530264,0.373151032
-12.023775,7.200682065,0.371351177
-12.043775,7.250833865,0.369551321
-12.063775,7.300985666,0.367751466
-12.083775,7.351137466,0.36595161
-12.103775,7.401289267,0.374083316
-12.123775,7.451441067,0.38584203
-12.143775,7.501592868,0.397600744
-12.163775,7.551744669,0.409359458
-12.183775,7.600889776,0.408520233
-12.203775,7.561862749,0.405053871
-12.223775,7.522835722,0.40158751
-12.243775,7.483808695,0.398121149
-12.263775,7.444781668,0.394654788
-12.283775,7.405754641,0.391188427
-12.303775,7.366727614,0.387722065
-12.323775,7.327700587,0.384255704
-12.343775,7.28867356,0.380789343
-12.363775,7.272822519,0.377322982
-12.383775,7.268815557,0.373856621
-12.403775,7.264808596,0.370390259
-12.423775,7.260801634,0.376485534
-12.443775,7.256794672,0.392805995
-12.463775,7.25278771,0.409126456
-12.483775,7.248780748,0.425446917
-12.503775,7.244773786,0.441767378
-12.523775,7.240766824,0.458087839
-12.543775,7.236759862,0.4744083
-12.563775,7.2327529,0.490728762
-12.583775,7.228745938,0.507049223
-12.603775,7.224738977,0.523369684
-12.623775,7.220732015,0.539690145
-12.643775,7.779782697,0.367590038
-12.663775,8.506884901,0.373891656
-12.683775,9.233987106,0.380193275
-12.703775,9.96108931,0.386494893
-12.723775,10.68819151,0.392796512
-12.743775,11.41529372,0.39909813
-12.763775,11.89559266,0.405399749
-12.783775,8.963136459,0.411701367
-12.803775,7.208105786,0.418002986
-12.823775,6.938685939,0.424304604
-12.843775,6.669266091,0.523061975
-12.863775,6.754622158,0.595124728
-12.883775,7.051273777,0.579141846
-12.903775,7.347925396,0.563158965
-12.923775,7.644577016,0.547176083
-12.943775,7.941228635,0.531193201
-12.963775,8.210704057,0.51521032
-12.983775,8.328260477,0.499227438
-13.003775,8.250603824,0.49316797
-13.023775,8.114934276,0.492436968
-13.043775,7.979264727,0.491705967
-13.063775,7.843595179,0.490974965
-13.083775,7.70792563,0.490243964
-13.103775,7.591502371,0.489512963
-13.123775,7.56413517,0.489784272
-13.143775,7.536767969,0.496765616
-13.163775,7.509400768,0.50374696
-13.183775,7.482033567,0.510728305
-13.203775,7.454666366,0.517709649
-13.223775,7.427299165,0.524690993
-13.243775,7.399931964,0.531672337
-13.263775,7.372564763,0.530574992
-13.283775,7.345197561,0.527203724
-13.303775,7.31783036,0.523832455
-13.323775,7.290463159,0.520461186
-13.343775,7.263095958,0.517089917
-13.363775,7.235728757,0.513718648
-13.383775,7.208711499,0.518035886
-13.403775,7.182640668,0.553304415
-13.423775,7.156569837,0.588572945
-13.443775,7.130499007,0.607678765
-13.463775,7.104428176,0.58957744
-13.483775,7.078357345,0.571476115
-13.503775,7.052286515,0.55337479
-13.523775,7.026215684,0.535273465
-13.543775,7.000144853,0.520590375
-13.563775,6.908291696,0.537940063
-13.583775,6.811167538,0.555289751
-13.603775,6.71404338,0.572639439
-13.623775,6.616919222,0.589989127
-13.643775,6.519795064,0.607338816
-13.663775,6.422670906,0.624688504
-13.683775,6.325546749,0.642038192
-13.703775,6.228422591,0.660272585
-13.723775,6.774292319,0.679680677
-13.743775,7.61227467,0.699088769
-13.763775,7.695370567,0.71849686
-13.783775,7.778466464,0.737904952
-13.803775,7.861562361,0.736484128
-13.823775,7.944658258,0.731693138
-13.843775,8.027754155,0.726902148
-13.863775,8.110850052,0.722111158
-13.883775,8.193945949,0.717320168
-13.903775,8.277041846,0.712529178
-13.923775,8.360137744,0.707738188
-13.943775,8.443233641,0.702947198
-13.963775,8.473624622,0.687106156
-13.983775,8.242236476,0.663669318
-14.003775,8.010848331,0.64023248
-14.023775,7.823327554,0.616795643
-14.043775,7.714624206,0.593358805
-14.063775,7.605920859,0.569921967
-14.083775,7.497217511,0.546485129
-14.103775,7.388514164,0.523048292
-14.123775,7.279810816,0.499611454
-14.143775,7.171107469,0.503237664
-14.163775,7.117847664,0.51639253
-14.183775,7.156808904,0.529547395
-14.203775,7.195770145,0.542702261
-14.223775,7.234731385,0.555857126
-14.243775,7.273692625,0.569011992
-14.263775,7.312653866,0.582166857
-14.283775,7.243926656,0.595321722
-14.303775,7.153241162,0.608476588
-14.323775,7.062555668,0.604611487
-14.343775,6.971870174,0.576363043
-14.363775,7.005356507,0.548114598
-14.383775,7.107144999,0.519866153
-14.403775,7.20893349,0.491617709
-14.423775,7.310721981,0.463378851
-14.443775,7.412510473,0.455023442
-14.463775,7.514298964,0.446668033
-14.483775,7.616087456,0.438312624
-14.503775,7.444823343,0.429957214
-14.523775,7.175403496,0.421601805
-14.543775,6.905983648,0.413246396
-14.563775,6.636563801,0.404890987
-14.583775,6.367143954,0.396535578
-14.603775,6.120298638,0.388180169
-14.623775,6.066342859,0.37982476
-14.643775,6.012387079,0.371469351
-14.663775,5.958431299,0.363113942
-14.683775,5.904475519,0.354758532
-14.703775,5.85051974,0.346403123
-14.723775,5.79656396,0.338047714
-14.743775,5.74260818,0.329692305
-14.763775,5.6886524,0.321336896
-14.783775,5.63469662,0.312981487
-14.803775,5.580740841,0.304626078
-14.823775,5.526785061,0.296270669
-14.843775,5.472829281,0.287915259
-14.863775,5.418873501,0.27955985
-14.883775,5.364917721,0.271204441
-14.903775,5.310961942,0.262849032
-14.923775,5.257006162,0.254493623
-14.943775,5.203050382,0.246138214
-14.963775,5.14924555,0.237782805
-14.983775,5.293136459,0.229427396
-15.003775,5.437027368,0.221071987
-15.023775,5.580918277,0.212716577
-15.043775,5.724809186,0.210504555
-15.063775,5.699552712,0.209338151
-15.083775,5.647586152,0.208171748
-15.103775,5.595619593,0.207005344
-15.123775,5.543653033,0.20583894
-15.143775,5.427653825,0.204672536
-15.163775,5.282371059,0.203506132
-15.183775,5.137088294,0.202339729
-15.203775,4.991805529,0.289222362
-15.223775,4.846522764,0.335909233
-15.243775,4.74387356,0.320601137
-15.263775,5.070682405,0.305293041
-15.283775,5.39749125,0.289984946
-15.303775,5.724300095,0.27467685
-15.323775,6.051108941,0.259368754
-15.343775,6.377917786,0.244060658
-15.363775,5.904929657,0.228752562
-15.383775,6.088450802,0.213444466
-15.403775,6.271971947,0.215721229
