meas_y,meas_x,estimated_y,estimated_x
0.4,0.03,19.76,1.92
0.36,0.03,19.72,1.92
0.32,0.03,19.68,1.92
0.24,0.03,19.64,1.92
0.2,0.03,19.6,1.92
0.2,0.03,19.57,1.92
0.12,0.04,19.53,1.92
0.08,0.04,19.49,1.92
0.04,0.04,19.45,1.92
0,0.05,19.41,1.92
-0.04,0.06,19.37,1.92
-0.08,0.07,19.33,1.92
-0.12,0.09,19.29,1.92
-0.16,0.11,19.25,1.92
-0.2,0.13,19.21,1.92
-0.24,0.16,19.17,1.92
-0.28,0.19,19.13,1.92
-0.32,0.22,19.09,1.92
-0.36,0.26,19.05,1.92
-0.4,0.3,19.01,1.92
-0.43,0.35,18.97,1.92
-0.47,0.4,18.93,1.92
-0.51,0.45,18.89,1.92
-0.55,0.5,18.85,1.92
-0.59,0.55,18.81,1.92
-0.63,0.59,18.77,1.92
-0.67,0.63,18.74,1.92
-0.71,0.67,18.7,1.92
-0.75,0.71,18.66,1.92
-0.79,0.75,18.62,1.92
-0.83,0.78,18.58,1.92
-0.87,0.81,18.54,1.92
-0.91,0.84,18.5,1.92
-0.95,0.86,18.46,1.92
-0.99,0.89,18.42,1.92
-1.03,0.92,18.38,1.92
-1.07,0.94,18.34,1.92
-1.11,0.96,18.3,1.92
-1.19,0.99,18.26,1.92
-1.23,1.01,18.22,1.92
-1.26,1.03,18.18,1.92
-1.3,1.05,18.14,1.92
-1.34,1.07,18.1,1.92
-1.38,1.09,18.06,1.92
-1.42,1.11,18.02,1.92
-1.46,1.13,17.98,1.92
-1.5,1.15,17.94,1.92
-1.54,1.17,17.91,1.92
-1.58,1.19,17.87,1.92
-1.62,1.21,17.83,1.92
-1.66,1.23,17.79,1.92
-1.7,1.24,17.75,1.92
-1.74,1.26,17.71,1.92
-1.78,1.28,17.67,1.92
-1.82,1.29,17.63,1.92
-1.86,1.31,17.59,1.92
-1.9,1.32,17.55,1.92
-1.94,1.34,17.51,1.92
-2.02,1.36,17.47,1.92
-2.06,1.37,17.43,1.92
-2.09,1.39,17.39,1.92
-2.13,1.4,17.35,1.92
-2.17,1.41,17.31,1.92
-2.21,1.43,17.27,1.92
-2.25,1.44,17.23,1.92
-2.29,1.45,17.19,1.92
-2.33,1.46,17.15,1.92
-2.37,1.47,17.11,1.92
-2.41,1.48,17.08,1.92
-2.45,1.5,17.04,1.92
-2.49,1.51,17,1.92
-2.53,1.52,16.96,1.92
-2.57,1.53,16.92,1.92
-2.61,1.54,16.88,1.92
-2.65,1.55,16.84,1.92
-2.69,1.56,16.8,1.92
-2.73,1.57,16.76,1.92
-2.77,1.58,16.72,1.92
-2.81,1.58,16.68,1.92
-2.85,1.6,16.64,1.92
-2.89,1.6,16.6,1.92
-2.96,1.61,16.56,1.92
-3,1.62,16.52,1.92
-3.04,1.63,16.48,1.92
-3.08,1.64,16.44,1.92
-3.12,1.64,16.4,1.92
-3.16,1.65,16.36,1.92
-3.2,1.66,16.32,1.92
-3.24,1.66,16.28,1.92
-3.28,1.67,16.25,1.92
-3.32,1.68,16.21,1.92
-3.36,1.69,16.17,1.92
-3.4,1.69,16.13,1.92
-3.44,1.7,16.09,1.92
-3.48,1.71,16.05,1.92
-3.52,1.71,16.01,1.92
-3.56,1.72,15.97,1.92
-3.6,1.73,15.93,1.92
-3.64,1.74,15.89,1.92
-3.68,1.74,15.85,1.92
-3.72,1.75,15.81,1.92
-3.75,1.76,15.77,1.92
-3.79,1.76,15.73,1.92
-3.87,1.77,15.69,1.92
-3.91,1.78,15.65,1.92
